,Ranking,Nombre,Empresa,Fecha,Genero,Ventas_Globales,Contador
93,218,StarCraft II: Wings of Liberty,Ordenador,2010,Estrategia,4.83,0
94,534,Battlefield 3,Ordenador,2011,Disparos,2.79,289
95,480,Star Wars: The Old Republic,Ordenador,2011,Rol,2.97,52
96,311,The Elder Scrolls V: Skyrim,Ordenador,2011,Rol,3.88,11
97,947,World of Warcraft: Mists of Pandaria,Ordenador,2012,Rol,1.83,0
98,693,Guild Wars 2,Ordenador,2012,Accion,2.3,124
99,182,Diablo III,Ordenador,2012,Rol,5.2,81
100,1388,Battlefield 4,Ordenador,2013,Disparos,1.4,82
101,1337,SimCity (2013),Ordenador,2013,Simulacion,1.44,2
102,1094,StarCraft II: Heart of the Swarm,Ordenador,2013,Estrategia,1.67,0
103,2317,The Elder Scrolls Online,Ordenador,2014,Rol,0.9,114
104,1619,Farming Simulator 2015,Ordenador,2014,Simulacion,1.23,0
105,479,The Sims 4,Ordenador,2014,Simulacion,2.97,521
106,3028,The Witcher 3: Wild Hunt,Ordenador,2015,Rol,0.67,91
107,1898,Grand Theft Auto V,Ordenador,2015,Accion,1.08,628
108,1632,Fallout 4,Ordenador,2015,Rol,1.23,170
109,6089,World of Warcraft: Legion,Ordenador,2016,Rol,0.29,0
110,5106,Tom Clancy's The Division,Ordenador,2016,Disparos,0.37,49
111,4511,Overwatch,Ordenador,2016,Disparos,0.43,4454
112,13960,Pia Carrot e Youkoso!! 2.5,Sega,2008,Aventura,0.04,0
